Sesion,Valor del carrito (ARS),Etapa alcanzada,Abandonos previos del cliente,Productos en el carrito,PRIORIDAD ASIGNADA (Alta/Media/Baja)
S-01,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-02,49000,cart,3,"1x Auriculares Bluetooth Pro, 1x Cable USB-C 2m",
S-03,200000,cart,5,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-04,200000,cart,3,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-05,128000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 2x Cable USB-C 2m",
S-06,160000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-07,40000,cart,5,2x Mouse Pad XL,
S-08,200000,cart,4,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-09,85000,cart,2,1x SSD 1TB NVMe,
S-10,110000,cart,3,"1x Auriculares Bluetooth Pro, 1x Headset Gamer 7.1",
S-11,150000,cart,3,"1x SSD 1TB NVMe, 1x Headset Gamer 7.1",
S-12,120000,cart,1,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-13,160000,cart,1,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-14,200000,cart,5,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-15,55000,cart,4,1x Teclado Mecanico RGB,
S-16,160000,cart,2,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-17,112000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 3x Cable USB-C 2m",
S-18,40000,cart,0,2x Mouse Pad XL,
S-19,59000,cart,1,"1x Teclado Mecanico RGB, 1x Cable USB-C 2m",
S-20,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-21,80000,cart,5,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-22,72000,cart,2,"3x Mouse Pad XL, 3x Cable USB-C 2m",
S-23,24000,cart,0,"1x Mouse Pad XL, 1x Cable USB-C 2m",
S-24,120000,cart,2,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-25,64000,cart,2,"3x Mouse Pad XL, 1x Cable USB-C 2m",
S-26,140000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB",
S-27,40000,cart,1,2x Mouse Pad XL,
S-28,160000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-29,68000,cart,2,"3x Mouse Pad XL, 2x Cable USB-C 2m",
S-30,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-31,76000,cart,2,"3x Mouse Pad XL, 4x Cable USB-C 2m",
S-32,200000,cart,2,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-33,160000,cart,0,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-34,120000,cart,0,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-35,100000,cart,1,"1x Auriculares Bluetooth Pro, 1x Teclado Mecanico RGB",
S-36,40000,cart,0,2x Mouse Pad XL,
S-37,69000,cart,0,"1x Headset Gamer 7.1, 1x Cable USB-C 2m",
S-38,130000,cart,2,"1x SSD 1TB NVMe, 1x Auriculares Bluetooth Pro",
S-39,64000,cart,1,"3x Mouse Pad XL, 1x Cable USB-C 2m",
S-40,40000,cart,3,2x Mouse Pad XL,
S-41,80000,cart,3,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-42,120000,cart,3,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-43,200000,cart,0,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-44,40000,cart,2,2x Mouse Pad XL,
S-45,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-46,180000,cart,1,1x Monitor 27 pulgadas Full HD,
S-47,80000,cart,1,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-48,116000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 4x Cable USB-C 2m",
S-49,200000,cart,1,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL",
S-50,124000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 1x Cable USB-C 2m",
S-51,120000,cart,4,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-52,105000,cart,2,"1x SSD 1TB NVMe, 1x Mouse Pad XL",
S-53,80000,cart,0,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-54,160000,cart,3,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-55,90000,cart,2,2x Auriculares Bluetooth Pro,
