Mensaje,Valor del carrito (ARS),Productos en el carrito,Mensaje generado,Relevancia (1-5),Precision factual (1-5),Persuasion (1-5),Uso de contexto (1-5),Claridad (1-5),Observaciones
M-01,160000,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL","Hola Cliente 09,

Vimos que dejaste en el carrito el Teclado Mecánico RGB, el Mouse Pad XL y el SSD 1TB NVMe. Es el combo ideal para armar una estación de trabajo o gaming de verdad: teclado responsivo, superficie de control y almacenamiento ultrarrápido.

Buena noticia: tu compra supera los $30.000, así que el envío te sale gratis a cualquier lado del país en 48hs.

Terminá la compra acá: http://localhost:5173/checkout

¿Tenés alguna pregunta antes de confirmar?

Saludos,
TechNova",5,5,5,4,5,"No menciona el total del carrito ($160.000), solo dice que supera $30.000."
M-02,40000,2x Mouse Pad XL,"**Asunto:** Tu Mouse Pad XL espera - Envío gratis incluido

Hola Cliente 05,

Vimos que dejaste 2 Mouse Pad XL en tu carrito por $40.000. ¡Buena noticia! Tu compra califica para envío gratis a todo el país en 48hs.

Además, podés pagar en 3 cuotas sin interés y contás con garantía oficial de 12 meses.

Completá tu compra acá: http://localhost:5173/checkout

Saludos,
TechNova",5,5,3,5,5,"Cierre débil, sin pregunta ni invitación a responder."
M-03,200000,"1x Monitor 27 pulgadas Full HD, 1x Mouse Pad XL","Hola Cliente 03,

Vimos que dejaste un Monitor 27"" Full HD y un Mouse Pad XL en el carrito. Juntos van a ser tu setup ideal: una pantalla con excelente definición para trabajar o jugar, y la comodidad del mouse pad para movimientos precisos.

Con $200.000 en tu compra, el envío es gratis a todo el país en 48hs, y además podés pagar en 3 cuotas sin interés.

Completá tu compra acá: http://localhost:5173/checkout

¿Hay algo que te frene? Estamos acá para ayudarte.

Saludos,
TechNova",5,5,5,5,5,
M-04,105000,"1x SSD 1TB NVMe, 1x Mouse Pad XL","**Asunto:** Cliente 10, tu carrito te espera

Hola Cliente 10,

Vimos que dejaste el SSD 1TB NVMe y el Mouse Pad XL. Es el combo perfecto para potenciar tu almacenamiento y tener una superficie de trabajo cómoda y profesional.

Lo mejor: con $105.000 tenés envío gratis a todo el país y pagás en 3 cuotas sin interés.

Completá tu compra acá: http://localhost:5173/checkout

Cualquier pregunta, nos escribís.

Saludos,
TechNova",5,5,4,5,5,
M-05,64000,"3x Mouse Pad XL, 1x Cable USB-C 2m","**Asunto:** Cliente 02, completá tu compra con envío gratis

Hola Cliente 02,

Vimos que dejaste 3 Mouse Pad XL y un Cable USB-C 2m en el carrito por $64.000. Perfecto para equipar tu espacio de trabajo o renovar varios puestos.

Como superás los $30.000, el envío es gratis en 48hs a todo el país. Y podés pagar en 3 cuotas sin interés si querés.

Completá tu compra acá: http://localhost:5173/checkout

Cualquier duda, escribinos.

Saludos,
TechNova",5,5,4,5,5,
M-06,85000,1x SSD 1TB NVMe,"**Asunto:** Cliente 06, tu SSD 1TB NVMe sigue en el carrito

Hola Cliente 06,

Tu SSD 1TB NVMe de $85.000 sigue guardado esperándote. Es el upgrade que tu equipo necesita: velocidad de lectura y escritura que transforma cómo trabajas o juegas.

Podés pagarlo en 3 cuotas sin interés para que sea más cómodo.

Completá acá: http://localhost:5173/checkout

¿Algo que te frene? Escribinos sin problema.

Saludos,
TechNova",5,5,5,5,5,
M-07,140000,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB","**Asunto:** Tu SSD 1TB NVMe y Teclado Mecánico RGB esperan

Hola Cliente 05,

Vimos que dejaste un SSD 1TB NVMe y un Teclado Mecánico RGB en tu carrito por $140.000. ¡La dupla ideal para potenciar tu setup!

Lo mejor: pagá en 3 cuotas sin interés y recibilo con envío gratis en 48hs a cualquier parte del país. Además, contás con garantía oficial de 12 meses.

Completá tu compra acá: http://localhost:5173/checkout

Si tenés dudas, escribinos cuando quieras.

Saludos,
TechNova",5,5,5,5,5,
M-08,120000,"1x SSD 1TB NVMe, 1x Webcam 1080p","**Asunto:** Cliente 01, tu SSD y Webcam te están esperando

Hola Cliente 01,

Vimos que dejaste en el carrito un SSD 1TB NVMe y una Webcam 1080p por $120.000. Esa combinación es perfecta para potenciar tu productividad: almacenamiento ultrarrápido y video en calidad profesional.

Lo mejor es que el envío es gratis en tu compra y llega en 48hs a todo el país.

Completá tu pedido acá: http://localhost:5173/checkout

¿Alguna duda? Escribinos sin problemas.

Saludos,
TechNova",5,5,5,5,5,
M-09,69000,"1x Headset Gamer 7.1, 1x Cable USB-C 2m","Hola Cliente 09,

Vimos que dejaste en el carrito el Headset Gamer 7.1 y el Cable USB-C 2m. Es la dupla perfecta para gaming o trabajo inmersivo: audio envolvente de calidad con conectividad rápida y segura.

Lo mejor es que pagués en 3 cuotas sin interés, así dividís el total sin preocupaciones.

Terminá la compra acá: http://localhost:5173/checkout

¿Tenés alguna duda? Escribinos cuando quieras.

Saludos,
TechNova",5,5,5,4,5,No menciona el total del carrito ($69.000).
M-10,68000,"3x Mouse Pad XL, 2x Cable USB-C 2m","**Asunto:** Cliente 07, tu setup de accesorios sigue en el carrito

---

Hola Cliente 07,

Vimos que dejaste los 3 Mouse Pad XL y los 2 Cables USB-C 2m en el carrito. Es el combo ideal para tener espacio de trabajo amplio y conexiones rápidas y ordenadas en todos tus dispositivos.

Lo importante: con $68.000 el envío es gratis a todo el país y llega en 48hs. Sin cargo adicional.

Completá tu compra acá: http://localhost:5173/checkout

Cualquier pregunta, estamos para ayudarte.

Saludos,
TechNova",5,5,4,5,4,Separador '---' extra entre el asunto y el saludo; no rompe la comprensión pero es un detalle de formato.
