Mensaje,Valor del carrito (ARS),Productos en el carrito,Mensaje generado,Relevancia (1-5),Precision factual (1-5),Persuasion (1-5),Uso de contexto (1-5),Claridad (1-5),Observaciones
M-001,59000,"1x Teclado Mecanico RGB, 1x Cable USB-C 2m","Hola Cliente 08! Vi que tenÃ©s en el carrito el Teclado MecÃ¡nico RGB y el Cable USB-C 2m, por un total de 59.000 pesos. Son complementos perfectos para tu estaciÃ³n de trabajo.
 
 No dejes pasar esta compra, completala ahora en: http://localhost:5173/checkout
 
 Si tenÃ©s dudas sobre los productos o necesitÃ¡s ayuda, estoy acÃ¡ para asistirte.",,,,,,
M-002,90000,2x Auriculares Bluetooth Pro,"**Asunto:** Cliente 03, tus Auriculares Bluetooth Pro están listos

Hola Cliente 03,

Vimos que dejaste 2 Auriculares Bluetooth Pro en el carrito por $90.000. Es la elección perfecta si querés audio de calidad para dos dispositivos, ya sea para trabajo, música o entretenimiento sin cables.

Con esta compra podés pagar en 3 cuotas sin interés y tenés envío gratis a todo el país en 48hs.

Completá tu compra acá: http://localhost:5173/checkout

¿Tenés dudas? Nos escribís cuando quieras.

Saludos,
TechNova",,,,,,
M-003,80000,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p","Asunto: Cliente 09, tus productos te esperan en TechNova

---

Hola Cliente 09,

Te escribimos porque vimos que dejaste productos en tu carrito en TechNova y queremos ayudarte a completar tu compra.

Recordamos que tenías seleccionados:
- Auriculares Bluetooth Pro (x1) - $45000
- Webcam 1080p (x1) - $35000
Total: $80000 ARS

Nos gustaría destacarte dos razones por las que esta es una excelente compra:

1. Contamos con entregas en 48 horas a todo el país, así recibís tus productos rápidamente y listo para usar.

2. Tu compra de $80000 califica para 3 cuotas sin interés, lo que hace mucho más accesible la inversión en estos equipos de calidad.

Además, todos nuestros productos incluyen garantía oficial de 12 meses y tenés 30 días para devolver sin preguntas si lo necesitás.

Finalizá tu compra haciendo clic en el siguiente enlace:

http://localhost:5173/checkout

Si tenés alguna duda, estamos a tu disposición.

Saludos cordiales,
Equipo de TechNova",,,,,,
M-004,180000,1x Monitor 27 pulgadas Full HD,"Hola Cliente 07,

Tu Monitor 27"" Full HD sigue en el carrito. Es una pantalla excelente para trabajar con múltiples ventanas, diseño o gaming sin comprometer calidad.

Con $180.000 podés dividir en 3 cuotas sin interés y el envío es gratis a todo el país en 48hs.

Completá la compra acá: http://localhost:5173/checkout

¿Algo que necesites saber antes de confirmar?

Saludos,
TechNova",,,,,,
M-005,80000,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p","**Asunto:** Cliente 07, tus Auriculares y Webcam siguen esperando

---

Hola Cliente 07,

Vimos que dejaste en el carrito los Auriculares Bluetooth Pro y la Webcam 1080p. Es la combinación perfecta para trabajar desde casa con audio profesional y video de calidad: reuniones claras, sin distracciones.

Lo mejor es que con tu compra de $80.000 el envío es gratis a todo el país y llega en 48hs. Sin costos extras.

Completá tu compra acá: http://localhost:5173/checkout

Si tenés dudas sobre los productos o los tiempos de entrega, escribinos sin problema.

Saludos,
TechNova",,,,,,
M-006,120000,"1x SSD 1TB NVMe, 1x Webcam 1080p","**Asunto:** Tu SSD 1TB NVMe te espera - 3 cuotas sin interés

Hola Cliente 03,

Vimos que dejaste un SSD 1TB NVMe y una Webcam 1080p en el carrito por $120.000. Con esta compra tenés envío gratis a todo el país en 48hs y podés pagar en 3 cuotas sin interés.

Además, ambos productos tienen 12 meses de garantía oficial y 30 días para devolución sin preguntas.

Completá tu compra acá: http://localhost:5173/checkout

Saludos,
TechNova",,,,,,
M-007,49000,"1x Auriculares Bluetooth Pro, 1x Cable USB-C 2m","**Asunto:** Cliente 02, tus Auriculares Bluetooth Pro te esperan

Hola Cliente 02,

Vimos que dejaste los Auriculares Bluetooth Pro y un Cable USB-C 2m en el carrito por $49.000. Como superás los $30.000, el envío llega gratis en 48hs a cualquier parte del país.

Además, pagás en 3 cuotas sin interés si lo necesitás.

Completá tu compra acá: http://localhost:5173/checkout

Saludos,
TechNova",,,,,,
M-008,120000,"1x SSD 1TB NVMe, 1x Webcam 1080p","**Asunto:** Tu SSD 1TB NVMe te está esperando

Hola Cliente 05,

Vimos que dejaste un SSD 1TB NVMe y una Webcam 1080p en tu carrito por $120.000. ¡No te lo pierdas!

Con tu compra obtenés envío gratis a todo el país en 48hs y podés pagar en 3 cuotas sin interés. Además, todos nuestros productos tienen garantía oficial de 12 meses.

Completá tu compra acá: http://localhost:5173/checkout

Saludos,
TechNova",,,,,,
M-009,64000,"3x Mouse Pad XL, 1x Cable USB-C 2m","**Asunto:** Cliente 06, tu carrito con Mouse Pad XL y Cable USB-C sigue listo

Hola Cliente 06,

Tu carrito sigue guardado con los 3 Mouse Pad XL y el Cable USB-C 2m. Es el detalle que falta para completar tu estación: protección de escritorio y conectividad rápida sin complicaciones.

Como ya pasaste por acá antes, queremos facilitarte todo: pagá en 3 cuotas sin interés y el total de $64.000 se divide sin cargo adicional.

Completá tu compra acá: http://localhost:5173/checkout

¿Algo que necesites antes de confirmar? Escribinos.

Saludos,
TechNova",,,,,,
M-010,80000,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p","Asunto: No dejes ir tus productos, Cliente 10 - Tu carrito te espera

Hola Cliente 10,

Notamos que dejaste algunos productos en tu carrito que podrían ser perfectos para ti.

Te recordamos que tenías:
- Auriculares Bluetooth Pro (x1) - $45000
- Webcam 1080p (x1) - $35000

Total: $80000 ARS

Sabemos que puede haber sido difícil decidirte, así que queremos ayudarte con dos ventajas que tal vez no conocías:

1. Podés pagar en 3 cuotas sin interés. Con una compra como la tuya, es una excelente manera de distribuir el gasto sin preocupaciones.

2. Todos nuestros productos incluyen garantía oficial de 12 meses, así que tu inversión está completamente protegida.

Además, llegamos a todo el país en 48 horas y si cambias de idea, tenés 30 días para devolver sin preguntas.

Finaliza tu compra aquí:
http://localhost:5173/checkout

Si tienes dudas, estamos para ayudarte.

Saludos,
Equipo TechNova",,,,,,
